id,商品名称,销售价格,月销量,评论量,商品人气值
577136955682,迷迭香硫磺软膏除螨洗发水男女去大块头皮屑去屑止痒控油神器克星 ,128,1029,10022,20430
569324922006,AUSSIE/澳丝 奇迹丰盈洗发露 ,79,5432,6164,24794
583737275600,COLAR/卡拿 姜康十三味 ,98,208,369,1634
555889348198,满婷 青花椒头皮养护洗发露 ,99,931,2447,4318
552721612002,强生婴儿儿童活力亮泽洗发露200mlx2 儿童柔顺无泪洗发水公主女孩 ,65.9,596,3725,2936
588497966597,魔香 迷迭香控油洗发水 ,45,1173,3201,5944
27247132576,oba/欧芭 香草SPA48小时高营养洗发乳霜 ,155,569,6523,27242
525153113253,多芬洗发水露洗头膏樱花沐浴露乳液护发素套装持久留香家庭装男女 ,69.8,545,1328,1970
45319533054,资生堂无硅油洗发水2瓶惠润柔净绿野芳香男女士洗发露600ml*2瓶 ,105,100,210,746
572895896559,巴登魔瓶 生姜强根健发洗发水 ,76,1301,5224,13082
579269215770,施华蔻8金纯盈润精油洗发水洗发露无硅油600ml*2瓶装 ,89,103,134,258
540785614365,蜂花正品无硅油洗发水生姜健发小麦蛋白柔顺护发素组合装洗护套装 ,63.5,1443,2353,4356
536624768654,L’Oreal professionnel/巴黎欧莱雅沙龙专属 ,129,590,1372,8112
588485764679,韵の堂 淘米水臻萃养发系列 ,58.9,5845,2934,6148
588615185397,满婷 满婷青花椒头皮养护洗发乳（无硅油配方） ,89,677,1898,3896
583195142998,Schwarzkopf/施华蔻 金致润养精油洗发露 ,58.8,53,73,80
539892455319,丝域（化妆品） 暖姜洗发露 ,89,655,10465,23564
520775766013,SEEYOUNG/滋源 生姜强根健发尊享套(油性头皮适用) ,109,542,72577,138730
589636809515,KONO顺滑轻盈洗发水套装洗发水顺滑洗发露女生滋润秀发抚顺毛躁 ,158,297,135,3374
18882926752,卓蓝雅无硅油生姜洗发水护发素抖音防脱发控油柔顺洗头膏洗护套装 ,116,231,4417,11924
41122330248,遇见香芬COCO洗发水护发素沐浴露洗护沐浴三件套装非修复干枯毛躁 ,69.8,1382,15131,20714
575177225216,Christophe Robin 海盐舒缓头皮洁净霜 ,315,1738,1474,24414
545122240521,DOMELAY/朵美莱 滋润丝滑洗发露 ,88,2818,38162,25678
588794805367,VS沙宣垂坠质感洗发水750ml洗发露男女通用洗头膏滋润发丝 ,59.9,360,63,112
591801149705,triptychoflune三谷氨基酸无硅油洗发水护发素套装女士控油滋养 ,158,699,396,3396
536067437440,amos/爱茉诗 绿茶防脱发洗发水（油性） ,165,1580,12215,40790
528890318835,日本熊野油脂无硅马油弱酸性防脱控油保湿男女洗发水2瓶 原装进口 ,89,896,5733,12386
527649071645,好迪 好迪活力清爽控油洗发水+保湿滋润沐浴露 ,49.9,5672,25489,9216
576812448977,George caroll/乔治卡罗尔 乔卡男士单身狗洗发水 ,89.9,3692,7392,27768
581280073059,魔香 女人香滋润顺滑洗发水 ,48,2168,945,2224
593845357701,Aussie袋鼠凝雾去油蓬松蓬蓬洁净便携免洗头发喷雾干发清爽女65ml ,59.9,3042,2083,5060
528722020461,日本熊野油脂无添加去屑控油止痒防脱健发孕妇可用洗发水护发套装 ,99,774,3122,13728
548220756480,徽歌 女人香深层补水洗发水 ,39.9,2888,34760,38992
544375525018,Moroccanoil摩洛哥精油丰盈洗发水护发素套装持久蓬松控油留香 ,378,212,924,6050
544414632679,Adidas/阿迪达斯 控油劲爽男士去屑洗发露 ,39.8,2799,23784,19380
557856434093,YUNEGISH/优妮 马油洗发水 ,88,1917,12277,18030
523158712821,发雅丝 姜医生控油清爽洗发露 ,138,226,422,1224
587216440999,正品黑裙香水型洗发水护发素沐浴露套装女士香味持久留香去屑膏小 ,59.8,6683,12429,12942
538830710970,徽歌 小黑裙香水洗发水 ,26,1728,7216,7684
536974652292,SOMANG/所望 头皮护理植物洗发水 ,59,2386,14802,31024
574851036498,三个魔发匠 香水滋润柔顺洗发乳 ,34.9,99824,579927,148408
556717824225,botanist 柔顺洗发水 ,125,1692,5723,42570
39024068460,琴叶 生姜疗发去屑洗发水 ,98,617,828,1488
571041485451,强生儿童洗发水6-12柔顺3-15岁男女孩大童小孩专用洗头膏正品女童 ,29.9,1138,1026,2780
37752005107,The Face Shop/菲诗小铺 梦中邂逅香水洗发水 ,26.9,2115,2691,3816
544860653343,施华蔻维他命护发无硅油清爽蓬松洗发水洗发露洗头膏套装官方1L ,129,1564,6382,10538
538675334566,施华蔻斐丝丽睡莲清爽香水洗发水滋养洗发露套装官方1360ml ,95,3753,32116,63070
38232631624,阿道夫 净澈清爽洗发乳液 ,166,327,4674,18788
575858525278,海飞丝无硅油去屑止痒控油洗发水液露套装洗发膏男女正品450ml*3 ,139,2987,7878,14670
520307050786,L'OREAL /欧莱雅 透明质酸水润72h洗发露 ,49.9,10493,32780,26076
545152571565,海飞丝 去屑洗发露(怡神冰凉型) ,64.8,3215,5595,2228
2850871799,海飞丝 去屑洗发露深层洁净型 ,43,2237,1786,2316
560707311429,RYO/吕 舒盈清润净澈去屑洗发水 ,88,220,2016,4774
548343640359,L＇oreal/欧莱雅 茶树植萃去屑1分钟头皮深层净彻凝胶 ,49.9,320,14856,19250
575581122672,海飞丝洗发水露丝质柔滑5ml*100袋旅行装5毫升去屑小包袋装洗头膏 ,29.9,344,967,792
560489824228,【官方正品】绿吕控油蓬松清爽男士无硅油洗发水组合女清香400g*2 ,140.8,12556,16182,44640
45418218682,KERASTASE/卡诗 奥丽顺柔洗发水 ,240,1028,1576,9146
586726059434,海飞丝防脱发洗发水青春男士女套装护根防掉焕活乳精华官方旗舰店 ,169,107,51,334
535919649838,KERASTASE/卡诗 丝韧焕活洗发水 ,260,189,351,1642
41719418888,欧莱雅美发多效修复洗发水套装400ml*2 强韧发丝减少分叉改善干枯 ,67,303,1281,3400
41920234537,包邮清扬洗发水男士去屑活力运动薄荷型洗发露套装洗发乳液1千克 ,62.9,17,15,22
520825791128,CLEAR/清扬 男士去屑洗发露活力运动型 ,99.9,199,2139,8766
538874286214,日本百年TAMANOHADA玉肌进口无硅油洗发水+护发素洗护套装 2瓶 ,178,4250,20267,92898
551628101067,AUSSIE 丰盈蓬松洗发水 ,49,6039,32981,76922
579481812802,清扬洗发水 男士去屑洗发露清爽控油型500g+100g*2 ,44.9,408,1234,1086
532069301237,CLEAR/清扬 去屑洗发露(清新净透型) ,58.8,57,226,526
18907787236,联合利华清扬多效水润男女士洗发水/露去头屑留香官方正品500g*2 ,112,98,14140,17376
532905438626,VS沙宣洗发露套装 清盈顺柔洗发水750ml*2 男士女士深度清洁 ,139,891,3749,5402
566056594986,L＇oreal/欧莱雅 沙龙洗护系列油脂平衡洗发水 ,120.5,200,353,1338
43117310948,【屈臣氏】潘婷CLINICARE染烫损伤修护洗发露/水润发乳套装600ml ,99,163,1444,4082
574975700156,Hair Recipe发之食谱无花果无硅油控油去油洗发水护发素280套装 ,159,11,88,522
533668101886,【屈臣氏】施华蔻辣木籽净透无硅洗发露600ml*2发丝清爽洗发水 ,159,54,246,906
520454715679,施华蔻羊绒脂滋养洗发水露乳洗头膏套装染烫受损修护理女 ,88,13,115,396
36940537022,VS沙宣洗发水护发素套装修护水养洗发露+护发素750ml滋润烫染 ,139,453,3504,15038
566673362719,满婷 清满修护洗发露 ,49,10011,31045,40726
592239840895,牛蒡根迷迭香洗发水去螨虫除螨控油去屑止痒非离子柔亮轻奢洗头膏 ,49,1285,881,2382
575896638524,Aussie白袋鼠洗发水修护护发洗护套装 女改善毛躁洗头膏素发膜 ,149.9,16081,38084,147454
588254061135,SHISEIDO PROFESSIONAL/资生堂专业美发 护理道 芳氛头皮护理 净透控油洗发 ,380,567,224,1592
39957648957,汉喜 荷塘月色精华无硅油洗发水 ,29.9,3207,84973,83306
576380165283,霸王乌发固发防脱发洗发水黑发柔顺修复枯黄白发男女士洗头膏正品 ,27.9,1917,1300,1938
587776723116,Amino Mason 牛油果氨基酸滋润型洗护套组450ml ,278,969,893,6056
574201689729,?美国belli孕妇洗发水孕妇专用洗护怀孕期用品氨基酸深度清洁然天 ,79,1019,1794,2668
19755177906,Schwarzkopf/施华蔻 水漾精华滋养洗发水 ,108,195,372,1280
540232513871,FORSHINE 5/花香5 TPA75-3(H) ,31.9,2851,24214,17208
538861946704,Batiste/碧缇丝 免水洗发喷雾（柔亮金棕） ,49,938,23997,35778
574201689729,?美国belli孕妇洗发水孕妇专用洗护怀孕期用品氨基酸深度清洁然天 ,79,1019,1794,2668
19755177906,Schwarzkopf/施华蔻 水漾精华滋养洗发水 ,108,195,372,1280
540232513871,FORSHINE 5/花香5 TPA75-3(H) ,31.9,2851,24214,17208
538861946704,Batiste/碧缇丝 免水洗发喷雾（柔亮金棕） ,49,938,23997,35778
575248270931,HAIR RECIPE/发の食谱 苹果姜滋养修护洗发水280ml ,79,1215,3541,21116
536707593368,L’Oreal professionnel/巴黎欧莱雅沙龙专属 丝泉净化洗发水 ,99,473,2459,8506
567967235110,Beaver/博柔 摩洛哥油洗发露 ,79,2170,5522,16562
582758552694,联合利华力士小晶钻樱花之恋无硅油洗发水+护发精华素套装450ml*2 ,99.9,351,395,2404
577327540920,PAHKEN/帕克 迷迭香非离子洗发水护发素加沐浴露 ,89,1253,8919,19522
566603826549,维特丝 香水香芬柔顺洗发乳 ,42,7413,32080,75844
552573888914,霸王育发防脱发生姜洗发水控油增发密发男女姜汁增长液旗舰店官网 ,99,1693,12218,22648
572493188327,韩国进口Ryo紫吕洗发水中草药防脱润发固发男女士滋养控油400ml*2 ,99,99,160,530
594093519188,日本amino mason氨基酸樱花洗发水护发素限定套装官方正品450ml*2 ,338,813,255,3036
42347844375,Shiseido/资生堂 护理道芳氛头皮护理洗发露 ,304,34,455,2498
522748652170,力士洗发水液露洗头膏护发素沐浴露乳持久留香家庭套装男女士正品 ,69.6,384,32299,26212
582196556262,徽歌 艾草汁滋润洗发水 ,56,804,5803,7468
570287483970,Tesori d’Oriente 水莲花 盈润滋养洗发乳 ,89,954,2540,7686
545249312013,贝亲泡沫沐浴露+泡沫洗发精500ml 婴儿洗发沐浴用品IA117 ,117,1298,1041,2418
